SampleID	freebayes	lofreq	Mutect2	sniper	strelka2	VarDict	VarScan
FA210U0264-A3AAF91RNF2-Y01K-8080	0.337667817635756	0.248577809706666	0.540358751546804	0.712913843578605	0.444373460462224	0.290676209509398	0.172312188938934
FA216F0039-A3A9F91RNF2-Y01K-100100	0.370476497929101	0.0666085649912696	0.348207979360105	0.843748878024116	0.622776215753578	0.402995439761502	0.735235545287305
FA216F0039-A3A9F91RNF2-Y01K-10040	0.505103477314028	0.245071502745085	0.477879441030293	0.839782530790233	0.487251552369779	0.584056318619049	4.58004231358596
FA216F0039-A3A9F91RNF2-Y01K-10060	0.378815529969438	0.186676155896753	0.382865199600099	0.905077951532306	0.611907712048289	0.464025284879067	8.88589019622894
FA216F0039-A3A9F91RNF2-Y01K-10080	0.399855990491538	0.221592806107118	0.366745145946334	0.95841375406953	0.598110093975639	0.43931612413531	8.78490210732758
FA216F0039-A3A9F91RNF2-Y01K-40100	0.713063870523946	0.266950801356007	0.135457186481901	6.25444412691136	0.860106412072991	0.298785231311304	2.95011010162619
FA216F0039-A3A9F91RNF2-Y01K-4040	0.747449536447946	0.261443068542008	0.150148653816235	9.11314042909716	0.685298565603359	0.321722252756008	8.05652146022551
FA216F0039-A3A9F91RNF2-Y01K-4060	0.728555241881471	0.244741963722696	0.0710195691954312	8.96343588267676	0.788516056530413	0.24966908067036	7.75069789172686
FA216F0039-A3A9F91RNF2-Y01K-4080	0.712067553494042	0.278213418933468	0.126598224539772	7.46068452802786	0.818209292590504	0.246999381805111	6.82806226909491
FA216F0039-A3A9F91RNF2-Y01K-60100	0.570946226003179	0.238883060573669	0.189463806314246	1.04433353895675	0.704456292018623	0.544981717943745	4.75763975365992
FA216F0039-A3A9F91RNF2-Y01K-6040	0.559803117427497	0.267735283461603	0.315006781895042	0.819647807240072	0.483077929416649	0.441657147033503	6.80479608198266
FA216F0039-A3A9F91RNF2-Y01K-6060	0.480197784968928	0.254454589350885	0.208532628440156	0.737123253556091	0.636434677681137	0.330960433692747	8.51314977097072
FA216F0039-A3A9F91RNF2-Y01K-6080	0.482077864584705	0.230307788569781	0.162162737824059	0.768807832867882	0.678130737292771	0.351115760665196	8.43831552596345
FA216F0039-A3A9F91RNF2-Y01K-80100	0.420622723450467	0.0665523321879141	0.279387201173593	0.957368653476188	0.639205311815988	0.414026152195916	3.10683010521287
FA216F0039-A3A9F91RNF2-Y01K-8040	0.502205241480107	0.198693479086962	0.362770974789102	0.80182318064783	0.491263984523261	0.56221919724354	8.85601007906796
FA216F0039-A3A9F91RNF2-Y01K-8060	0.426359577856187	0.134298691952099	0.335030318214285	0.97074741508018	0.576304087234413	0.446949085425093	7.89821635628336
FA216F0039-A3A9F91RNF2-Y01K-8080	0.401380387616511	0.136809648571898	0.288212441096968	0.818643295577183	0.602712987946045	0.433414893680375	8.55320952637899
